标题,售价,单价,小区,区域,户型,面积,朝向,装修,楼层,楼层类型,楼层数,建筑结构,年份,详情页,面积数值,楼层数值,房间数,厅数,每房间价格,每平米房间数,是否南北通透,楼层类型编码,装修编码,cluster
青秀三期自住精装四房诚心出售，拎包入住。,189.8,15946,中国铁建梅溪青秀三期 ,梅溪湖北岸,4室1厅,119.03平米,南,精装,高楼层(共34层) ,高,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115290467.html,119.03,34.0,4.0,1.0,47.45,0.03360497353608334,0,2.0,2,1
梅溪湖壹号三期 精装自住 一线湖景小三房,170.0,15997,梅溪湖壹号三期 ,梅溪湖南岸,3室2厅,106.27平米,南,精装,高楼层(共27层),高,27,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104116062637.html,106.27,27.0,3.0,2.0,56.666666666666664,0.028229980239013835,0,2.0,2,1
时代二期 精装三房 中间楼层 拎包入住,99.8,8647,时代倾城 ,金星北,3室2厅,115.42平米,南,其他,高楼层(共34层) ,高,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116193523.html,115.42,34.0,3.0,2.0,33.266666666666666,0.025992029111072602,0,2.0,1,1
采光视野好，自住保养好，业主诚心出售,75.0,8589,时代倾城 ,金星北,2室2厅,87.33平米,南,其他,高楼层(共34层) ,高,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115768498.html,87.33,34.0,2.0,2.0,37.5,0.022901637467078895,0,2.0,1,1
二环内汽车西站旁精装小三房 近地铁中间楼层拎包住,79.8,8814,馨香雅苑 ,商学院,3室2厅,90.54平米,南,精装,中楼层(共18层),中,18,板楼,2015年,https://cs.lianjia.com/ershoufang/104115478773.html,90.54,18.0,3.0,2.0,26.599999999999998,0.03313452617627568,0,1.0,2,3
次新小区，楼龄新，紧靠浏阳河湘江，看小区花园,149.0,14327,北辰三角洲C2区 ,北辰三角洲,3室2厅,104平米,南,精装,低楼层(共55层),低,55,板塔结合,2014年,https://cs.lianjia.com/ershoufang/104113319786.html,104.0,55.0,3.0,2.0,49.666666666666664,0.028846153846153848,0,0.0,2,1
拎包入住、租售比高、滨江芯、随时可看,38.0,8227,启迪协信中心 ,观沙岭,1室1厅,46.19平米,南,精装,中楼层(共44层) ,中,44,塔楼,unknown,https://cs.lianjia.com/ershoufang/104116351155.html,46.19,44.0,1.0,1.0,38.0,0.02164970772894566,0,1.0,2,0
19年交付次新小区两梯三户南北双阳台户型,126.0,9265,兴汝金城 ,德思勤,3室2厅,136平米,南,毛坯,低楼层(共17层) ,低,17,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104112015165.html,136.0,17.0,3.0,2.0,42.0,0.022058823529411766,0,0.0,0,2
户型正 通风采光好  龙华地铁口 精装修三房两卫双阳台,76.8,6607,东方美地 ,汽车东站,3室2厅,116.25平米,南,精装,低楼层(共32层),低,32,塔楼,2017年,https://cs.lianjia.com/ershoufang/104116039024.html,116.25,32.0,3.0,2.0,25.599999999999998,0.025806451612903226,0,0.0,2,3
周楠 毛坯复式大四房 带60平露台 南北通透 得房率高,210.0,13961,佳兆业云顶梅溪湖 ,梅溪湖南岸,4室2厅,150.42平米,南 北,毛坯,高楼层(共27层),高,27,塔楼,2014年,https://cs.lianjia.com/ershoufang/104114364538.html,150.42,27.0,4.0,2.0,52.5,0.02659220848291451,1,2.0,0,2
